fecha,tipo_movimiento,bucket,display_name,producto_fuente,producto_sku,cantidad_planchas,detalle,detalle_original,origen
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,14.4,Pedido 7461 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7461 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,10.0,Pedido 7461 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7461 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,11.0,Pedido 7461 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7461 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,6.0,Pedido 7462 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7462 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,5.3333,Pedido 7462 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7462 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,10.0,Pedido 7462 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7462 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,4.8,Pedido 7463 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7463 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,7.3333,Pedido 7463 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7463 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,8.0,Pedido 7463 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7463 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,1.0,Pedido 7464 · HUGO ZARZA,Pedido 7464 · HUGO ZARZA,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,2.0,Pedido 7465 · ADRIANA CABALLERO,Pedido 7465 · ADRIANA CABALLERO,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7466 · LUIS RECALDE,Pedido 7466 · LUIS RECALDE,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7468 · JOSE GIANGRECO,Pedido 7468 · JOSE GIANGRECO,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7469 · NATALIA CAZAL,Pedido 7469 · NATALIA CAZAL,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,2.0,Pedido 7470 · AGUSTIN RODRIGUEZ,Pedido 7470 · AGUSTIN RODRIGUEZ,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,2.0,Pedido 7471 · DIEGO ARAUJO,Pedido 7471 · DIEGO ARAUJO,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7472 · NATALIA GIANGRECO,Pedido 7472 · NATALIA GIANGRECO,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,7.0,Pedido 7473 · VICTOR YAMBAY,Pedido 7473 · VICTOR YAMBAY,ERP Pedidos
